1994	2016/1/9 00:01:05
1995	2016/1/9 00:14:49
1996	2016/1/9 00:35:32
1997	2016/1/9 00:57:15
1998	2016/1/9 01:11:09
1999	2016/1/9 01:21:56
2000	2016/1/9 01:32:17
2001	2016/1/9 01:43:07
2002	2016/1/9 01:46:28
2003	2016/1/9 01:51:06
2004	2016/1/9 01:55:57
2005	2016/1/9 01:56:47
2006	2016/1/9 02:26:17
2056	2016/1/9 19:36:22
2057	2016/1/9 19:38:53
2058	2016/1/9 19:46:54
2079	2016/1/9 22:25:52
2080	2016/1/9 22:28:36
2081	2016/1/9 22:33:37
2082	2016/1/9 22:45:53
2083	2016/1/9 22:50:31
2084	2016/1/9 22:55:02
2085	2016/1/9 23:08:33
2086	2016/1/9 23:29:31
2087	2016/1/9 23:34:50
2088	2016/1/9 23:38:41
2089	2016/1/9 23:43:41
2090	2016/1/9 23:53:14
2091	2016/1/10 00:05:13
2092	2016/1/10 00:08:49
2093	2016/1/10 00:13:30
2094	2016/1/10 00:18:12
2095	2016/1/10 00:22:43
2096	2016/1/10 00:25:38
2097	2016/1/10 00:36:42
2098	2016/1/10 00:45:06
2099	2016/1/10 00:53:09
2100	2016/1/10 00:55:05
2101	2016/1/10 01:06:26
2102	2016/1/10 01:15:09
2103	2016/1/10 01:17:00
2104	2016/1/10 01:17:41
2176	2016/1/10 17:35:58
2188	2016/1/10 19:17:17
2215	2016/1/10 21:35:23
2216	2016/1/10 21:36:24
2217	2016/1/10 21:41:50
2231	2016/1/10 22:18:40
2232	2016/1/10 22:20:08
2233	2016/1/10 22:28:13
2234	2016/1/10 22:28:19
2235	2016/1/10 22:28:33
2265	2016/1/11 00:05:04
2266	2016/1/11 00:10:55
2267	2016/1/11 00:17:25
2268	2016/1/11 00:19:04
2269	2016/1/11 00:19:48
2270	2016/1/11 00:19:53
2271	2016/1/11 00:20:19
2272	2016/1/11 00:21:12
2273	2016/1/11 00:24:21
2274	2016/1/11 00:27:14
2275	2016/1/11 00:33:05
2276	2016/1/11 00:37:53
2277	2016/1/11 00:40:47
2278	2016/1/11 00:45:53
2279	2016/1/11 01:01:46
2280	2016/1/11 01:08:22
2281	2016/1/11 01:10:49
2282	2016/1/11 01:13:20
2283	2016/1/11 01:14:07
2284	2016/1/11 01:19:35
2285	2016/1/11 01:25:31
2286	2016/1/11 01:28:50
2287	2016/1/11 01:32:53
2288	2016/1/11 01:39:22
2289	2016/1/11 01:40:55
2290	2016/1/11 01:44:01
2291	2016/1/11 01:45:34
2292	2016/1/11 01:46:13
2293	2016/1/11 01:49:06
2294	2016/1/11 01:53:42
